geoid,aland,awater,income,population,kmdensity,centx,centy
420130110012,23519032,13214,22944,846,35.97090149,-78.49842954,40.44810949
420130105001,27698847,29740,23042,715,25.81329918,-78.43965491,40.55971858
420130115002,18645960,0,19971,1269,68.05760193,-78.46773423,40.34712141
420130110022,3256834,0,32679,916,281.2550049,-78.43404656,40.46348263
420131016001,192907,0,11603,1131,5862.930176,-78.39063656,40.51415732
420130105002,12111873,0,29395,1646,135.8999939,-78.43119586,40.5266312
420130104024,4426054,0,33114,818,184.8150024,-78.2994,40.63632079
420130116003,57834222,0,20755,976,16.87579918,-78.53610276,40.32479103
420130107002,7002120,0,25474,1731,247.2109985,-78.3957218,40.55058
420130115003,36773412,0,28533,1702,46.28340149,-78.38767286,40.30963258
420130109003,34768388,417373,19275,1293,37.18899918,-78.30026285,40.44449121
420130101012,32845172,65729,26293,883,26.88369942,-78.24950536,40.7136378
420130107003,17407892,5907,32725,1464,84.09980011,-78.34284479,40.53613276
420131006003,153764,0,20440,528,3433.830078,-78.40312585,40.52747926
420130110021,8722459,0,28356,1658,190.0839996,-78.41428405,40.44888528
420130113003,26538835,0,24139,2092,78.82790375,-78.32560588,40.29592931
420130109001,41342926,620449,40606,1714,41.45809937,-78.29823667,40.48903481
420130115001,26353076,17312,28826,2164,82.11569977,-78.46486429,40.37223175
420130110011,34416507,0,24353,1784,51.83560181,-78.49055569,40.47186418
420130108003,43064019,0,22367,1019,23.66239929,-78.23953562,40.43884998
420010305002,25305729,47483,32654,1618,63.93809891,-77.26667289,39.91575123
420350304003,5088105,3445,28398,721,141.7030029,-77.35124145,41.18341977
420350309001,97545406,544215,20579,1425,14.60859966,-77.25125076,41.04664681
420710115034,2155656,5807,24419,649,301.0679932,-76.42060257,40.0414957
420710139011,7860451,289285,32056,1037,131.9259949,-76.31776945,39.99146661
420710135014,2797309,236208,37846,980,350.3370056,-76.32979839,40.0031115
420370510001,674099,2164,20620,881,1306.930054,-76.4417482,41.00247272
420710131012,11477972,153800,30485,2470,215.1950073,-76.22337233,40.09641945
420430234001,2276638,0,13649,654,287.2659912,-76.82811143,40.2245902
420430236021,980113,165,23378,2019,2059.969971,-76.7725578,40.21040092
420430241022,14747065,14914,18259,2753,186.6809998,-76.61911762,40.26841302
420430243001,1484575,0,39627,2125,1431.390015,-76.64875595,40.27982071
420430245021,65422996,13595,27724,1722,26.32099915,-76.69604504,40.41647263
420430247002,21413168,9829530,38606,2204,102.927002,-76.97421886,40.37719366
420810118001,52833007,1401828,27416,1312,24.83300018,-77.17809231,41.18512565
420270119011,61112873,0,42624,2724,44.57329941,-78.02413787,40.7730006
420810118002,87069670,328881,28873,1921,22.06279945,-77.16040024,41.13940808
420810119002,786193,0,16258,1072,1363.530029,-77.27982707,41.19924959
420810119003,741326,0,22757,1236,1667.280029,-77.2692075,41.20291274
420130111001,1459307,0,33591,860,589.3209839,-78.41498697,40.43030908
420810106001,118039241,1067851,26394,1729,14.64770031,-76.6606192,41.29837401
420810119004,680926,5827,21386,836,1227.73999,-77.26269118,41.20123171
420810119005,394320,55902,23231,437,1108.23999,-77.25556406,41.20446661
420810103002,40301583,86965,31174,853,21.16539955,-77.16805137,41.29515086
420810105001,217992876,2938685,31564,1191,5.463479996,-76.91823969,41.41682432
420810106003,61934287,349837,24209,872,14.07940006,-76.58434806,41.23232565
420810108006,763661,0,27400,755,988.6589966,-76.78729685,41.20706266
421179505003,95222776,43136,24253,980,10.29170036,-76.97563717,41.87586375
420970819003,49410966,5936715,27227,933,18.88240051,-76.80933188,40.7854013
420670704001,93177172,3722,21501,1846,19.81170082,-77.06969528,40.6243908
420670704003,24781649,0,20891,1283,51.77220154,-77.15372164,40.66508593
420670703001,75165755,1535416,22376,1634,21.73859978,-77.21923313,40.58682294
420670701001,48363338,0,29506,1719,35.54349899,-77.23631168,40.65676597
420670703004,844078,0,22595,844,999.90802,-77.23613126,40.56579874
420670701003,42358133,0,21381,1238,29.22699928,-77.36443085,40.61734694
420670702022,42407702,378828,25581,882,20.79809952,-77.3768886,40.50469505
420670702024,56685345,0,20569,773,13.63669968,-77.51511606,40.50358322
420670701004,40638183,1150660,26632,1611,39.64250183,-77.42111005,40.61413033
420670703002,36803249,200405,21401,1132,30.75819969,-77.32969335,40.57286129
420670701005,362872,0,20712,1123,3094.76001,-77.39514,40.571174
420670702012,147708623,0,22638,580,3.926650047,-77.67784219,40.36207023
420670701002,55332382,0,26683,1786,32.27769852,-77.30843232,40.64560034
420670704002,26739290,0,21932,1007,37.65990067,-77.09126202,40.66129602
420670703003,37861009,1153551,24568,1637,43.23709869,-77.30693477,40.54260161
420670702023,56338784,0,23977,952,16.89780045,-77.47007913,40.46468505
420670702025,1559143,0,22299,886,568.2609863,-77.38945985,40.53377174
420670702021,104182538,1181520,24689,2568,24.64900017,-77.47830933,40.55202949
420430219032,2157357,0,32839,2764,1281.199951,-76.86108063,40.30674151
420010314022,33741012,252733,26681,1194,35.3871994,-77.24236477,39.76238849
420010311021,17231130,116957,32545,3350,194.4160004,-77.02672593,39.7873085
420750002002,560743,0,17848,478,852.4400024,-76.43481521,40.33482858
420750002003,750690,0,37167,1054,1404.040039,-76.43623258,40.32870652
420750002004,1011953,0,30805,1298,1282.670044,-76.42454916,40.32689098
420750003001,221333,0,26070,1280,5783.140137,-76.42894566,40.34623272
420750004013,114658,0,11457,1628,14198.7002,-76.42121753,40.346052
420750004021,253805,0,13900,1431,5638.189941,-76.41658418,40.34653762
420750004023,134200,0,15190,1140,8494.780273,-76.41425821,40.34645813
420750005001,512720,0,15365,1423,2775.389893,-76.39814093,40.3468242
420750005003,681753,0,25109,586,859.5490112,-76.40569492,40.34201189
420750005004,544857,0,28199,1046,1919.77002,-76.40625572,40.33524661
420750021002,19682871,0,27745,949,48.21450043,-76.39566686,40.43616672
420750022002,25764976,0,23709,2418,93.84829712,-76.45682042,40.39885164
420750024002,21467117,48008,26963,1418,66.05449677,-76.51835318,40.36444037
420750037001,20429755,0,24108,1052,51.49349976,-76.53896149,40.29181858
420750040002,21918354,0,47481,1316,60.04100037,-76.55270647,40.24900514
420550111002,1359271,0,25468,1716,1262.439941,-77.65128412,39.94708959
420550112001,976362,0,15570,1171,1199.349976,-77.66123081,39.94575772
420550112002,389771,0,18023,920,2360.360107,-77.66945492,39.94320541
420550112003,442559,0,18691,1019,2302.52002,-77.67018222,39.93778299
420550115005,1453016,0,25009,848,583.6140137,-77.9015488,39.83554403
420750040003,30694946,64142,29503,1428,46.52230072,-76.52392642,40.22604476
420750038004,10913465,0,40291,1926,176.4790039,-76.5714204,40.32565456
420750027023,6504864,110481,25782,1696,260.7279968,-76.40411714,40.37063432
420750021003,24424528,0,24743,1555,63.66550064,-76.38900217,40.40900428
420750022001,31734116,15351,26353,3934,123.9680023,-76.49057424,40.45815195
420750028001,17316552,0,28160,4082,235.7279968,-76.34027034,40.39465012
420750023001,27014192,30861,30547,1168,43.23649979,-76.60482259,40.3813306
420750032002,30602991,65645,39140,2291,74.86199951,-76.37056387,40.28626646
420750020002,129663379,71270,27111,1286,9.917989731,-76.56959183,40.48224697
420750020001,11364793,12284,28536,1905,167.6230011,-76.50800567,40.41423472
420750024001,23215553,51137,47080,989,42.60070038,-76.562696,40.35289952
420750038003,10728905,15267,32349,1180,109.9830017,-76.6058999,40.33413082
420750032001,16677520,105074,28243,2423,145.2850037,-76.35941373,40.32899686
420750042001,7601888,53999,35327,1539,202.4499969,-76.39432771,40.27614838
420750028003,34419866,200130,21770,2687,78.06539917,-76.30143544,40.36062171
420750031003,27046389,25624,24431,1602,59.23160172,-76.2804911,40.2795187
420750005002,224635,0,17697,741,3298.679932,-76.40733491,40.34659147
420750028002,10564683,4485,25450,1770,167.5390015,-76.31329884,40.40414525
420750021001,45467917,69097,25383,2634,57.93099976,-76.44707828,40.47488732
420750040001,10454558,0,30138,4769,456.1650085,-76.58013903,40.27691632
420750031001,28773536,0,26585,1478,51.36660004,-76.30690814,40.31004042
420750037002,29995404,0,32920,1865,62.17620087,-76.499201,40.28984493
420750030002,47207510,23280,29250,1345,28.49119949,-76.22199839,40.32765979
420750003002,123715,0,10329,880,7113.120117,-76.43218476,40.34536982
420550124001,1690389,0,21439,1502,888.5529785,-77.58562788,39.74326575
420550124002,1983827,0,22861,1383,697.1370239,-77.5715693,39.74614421
420550113012,16739523,0,33080,3544,211.7149963,-77.72808972,39.90299268
420550114002,13189949,0,24727,1203,91.20580292,-77.76266833,39.93641862
420550117002,33998714,0,32757,3817,112.2689972,-77.77016904,39.79871292
420333308001,76940356,587251,23135,1294,16.81819916,-78.22353441,41.01610221
420333308003,35175188,52795,23337,1515,43.07009888,-78.12296783,40.97428055
420333309002,20082134,284852,14527,3418,170.201004,-78.25461133,40.88923748
420333309004,854073,0,23989,1153,1350,-78.26980938,40.85250933
420333310002,53465852,590748,19705,1411,26.39069939,-78.29870003,41.02482364
420333311001,620578,0,17500,1335,2151.219971,-78.43528545,41.02144137
420333311003,1049120,0,28977,1015,967.4769897,-78.43967094,41.01030148
420333312004,547996,0,21883,699,1275.560059,-78.44754437,41.03042492
420430252002,22947049,0,25586,1182,51.50989914,-76.84262174,40.55553123
420550106003,6756022,0,26450,1942,287.446991,-77.57197409,39.90624162
